a.	<id>a.</id> <disp>adjective.</disp>
abl.	<id>abl.</id> <disp>ablative.</disp>
acc.	<id>acc.</id> <disp>accusative.</disp>
acct.	<id>acct.</id> <disp>accent.</disp>
acct	<id>acct</id> <disp>accent.</disp>
act.	<id>act.</id> <disp>active, actively.</disp>
adj.	<id>adj.</id> <disp>adjective, adjectively.</disp>
adv.	<id>adv.</id> <disp>adverb, adverbial.</disp>
advly.	<id>advly.</id> <disp>adverbially.</disp>
aor.	<id>aor.</id> <disp>aorist.</disp>
AS.	<id>AS.</id> <disp>Anglo-Saxon.</disp>
assev.	<id>assev.</id> <disp>asseverative.</disp>
B.	<id>B.</id> <disp>Brāhmaṇa.</disp>
beg.	<id>beg.</id> <disp>beginning.</disp>
caus.	<id>caus.</id> <disp>causative.</disp>
cf.	<id>cf.</id> <disp>compare.</disp>
colloq.	<id>colloq.</id> <disp>colloquial.</disp>
comp.	<id>comp.</id> <disp>comparative.</disp>
conj.	<id>conj.</id> <disp>conjunction.</disp>
correl.	<id>correl.</id> <disp>correlative.</disp>
cpds.	<id>cpds.</id> <disp>compounds.</disp>
cpds	<id>cpds</id> <disp>compounds.</disp>
cpd	<id>cpd</id> <disp>compound</disp>
dat.	<id>dat.</id> <disp>dative.</disp>
denom.	<id>denom.</id> <disp>denominative.</disp>
deriv.	<id>deriv.</id> <disp>derivative</disp>
derivs.	<id>derivs.</id> <disp>derivatives.</disp>
desid.	<id>desid.</id> <disp>desiderative.</disp>
e.g.	<id>e.g.</id> <disp>for example.</disp>
e. g.	<id>e. g.</id> <disp>for example.</disp>
encl.	<id>encl.</id> <disp>enclitic.</disp>
Eng.	<id>Eng.</id> <disp>English.</disp>
equiv.	<id>equiv.</id> <disp>equivalent.</disp>
esp.	<id>esp.</id> <disp>especially, especial.</disp>
etc.	<id>etc.</id> <disp>and so forth.</disp>
excl.	<id>excl.</id> <disp>exclamation.</disp>
f.	<id>f.</id> <disp>feminine</disp>
fem.	<id>fem.</id> <disp>feminine.</disp>
